자재바코드,검사일시,검사결과,비고
11002026021400034_001,,,
11002026021400034_002,2026-02-14 20:29:37,NG3,R전류, 소음 불량
11002026021400034_003,,,
11002026021400034_004,,,
11002026021400034_005,,,
11002026021400034_006,,,
11002026021400034_007,,,
11002026021400034_008,,,
11002026021400034_009,,,
11002026021400034_010,,,
11002026021400034_011,,,
11002026021400034_012,,,
11002026021400034_013,,,
11002026021400034_014,,,
11002026021400034_015,,,
11002026021400034_016,,,
11002026021400034_017,,,
11002026021400034_018,,,
11002026021400034_019,,,
11002026021400034_020,,,
11002026021400034_021,,,
11002026021400034_022,,,
11002026021400034_023,,,
11002026021400034_024,,,
11002026021400034_025,,,
11002026021400034_026,,,
11002026021400034_027,,,
11002026021400034_028,,,
11002026021400034_029,,,
11002026021400034_030,,,
11002026021400034_031,,,
11002026021400034_032,,,
11002026021400034_033,,,
11002026021400034_034,,,
11002026021400034_035,,,
11002026021400034_036,,,
11002026021400034_037,,,
11002026021400034_038,,,
11002026021400034_039,,,
11002026021400034_040,,,
11002026021400034_041,,,
11002026021400034_042,,,
11002026021400034_043,,,
11002026021400034_044,,,
11002026021400034_045,,,
11002026021400034_046,,,
11002026021400034_047,,,
11002026021400034_048,,,
11002026021400034_049,,,
11002026021400034_050,,,
11002026021400034_051,,,
11002026021400034_052,,,
11002026021400034_053,,,
11002026021400034_054,,,
11002026021400034_055,,,
11002026021400034_056,,,
11002026021400034_057,,,
11002026021400034_058,,,
11002026021400034_059,,,
11002026021400034_060,,,
11002026021400034_061,,,
11002026021400034_062,,,
11002026021400034_063,,,
11002026021400034_064,,,
11002026021400034_065,,,
11002026021400034_066,,,
11002026021400034_067,,,
11002026021400034_068,,,
11002026021400034_069,,,
11002026021400034_070,,,
11002026021400034_071,,,
11002026021400034_072,,,
11002026021400034_073,,,
11002026021400034_074,,,
11002026021400034_075,,,
11002026021400034_076,,,
11002026021400034_077,,,
11002026021400034_078,,,
11002026021400034_079,,,
11002026021400034_080,,,
11002026021400034_081,,,
11002026021400034_082,,,
11002026021400034_083,,,
11002026021400034_084,,,
11002026021400034_085,,,
11002026021400034_086,,,
11002026021400034_087,,,
11002026021400034_088,,,
11002026021400034_089,,,
11002026021400034_090,,,
11002026021400034_091,,,
11002026021400034_092,,,
11002026021400034_093,,,
11002026021400034_094,,,
11002026021400034_095,,,
11002026021400034_096,,,
11002026021400034_097,,,
11002026021400034_098,,,
11002026021400034_099,,,
11002026021400034_100,,,
11002026021400034_001,,,
11002026021400034_002,,,
11002026021400034_003,,,
11002026021400034_004,,,
11002026021400034_005,,,
11002026021400034_006,,,
11002026021400034_007,,,
11002026021400034_008,,,
11002026021400034_009,,,
11002026021400034_010,,,
11002026021400034_011,,,
11002026021400034_012,,,
11002026021400034_013,,,
11002026021400034_014,,,
11002026021400034_015,,,
11002026021400034_016,,,
11002026021400034_017,,,
11002026021400034_018,,,
11002026021400034_019,,,
11002026021400034_020,,,
11002026021400034_021,,,
11002026021400034_022,,,
11002026021400034_023,,,
11002026021400034_024,,,
11002026021400034_025,,,
11002026021400034_026,,,
11002026021400034_027,,,
11002026021400034_028,,,
11002026021400034_029,,,
11002026021400034_030,,,
11002026021400034_031,,,
11002026021400034_032,,,
11002026021400034_033,,,
11002026021400034_034,,,
11002026021400034_035,,,
11002026021400034_036,,,
11002026021400034_037,,,
11002026021400034_038,,,
11002026021400034_039,,,
11002026021400034_040,,,
11002026021400034_041,,,
11002026021400034_042,,,
11002026021400034_043,,,
11002026021400034_044,,,
11002026021400034_045,,,
11002026021400034_046,,,
11002026021400034_047,,,
11002026021400034_048,,,
11002026021400034_049,,,
11002026021400034_050,,,
11002026021400034_051,,,
11002026021400034_052,,,
11002026021400034_053,,,
11002026021400034_054,,,
11002026021400034_055,,,
11002026021400034_056,,,
11002026021400034_057,,,
11002026021400034_058,,,
11002026021400034_059,,,
11002026021400034_060,,,
11002026021400034_061,,,
11002026021400034_062,,,
11002026021400034_063,,,
11002026021400034_064,,,
11002026021400034_065,,,
11002026021400034_066,,,
11002026021400034_067,,,
11002026021400034_068,,,
11002026021400034_069,,,
11002026021400034_070,,,
11002026021400034_071,,,
11002026021400034_072,,,
11002026021400034_073,,,
11002026021400034_074,,,
11002026021400034_075,,,
11002026021400034_076,,,
11002026021400034_077,,,
11002026021400034_078,,,
11002026021400034_079,,,
11002026021400034_080,,,
11002026021400034_081,,,
11002026021400034_082,,,
11002026021400034_083,,,
11002026021400034_084,,,
11002026021400034_085,,,
11002026021400034_086,,,
11002026021400034_087,,,
11002026021400034_088,,,
11002026021400034_089,,,
11002026021400034_090,,,
11002026021400034_091,,,
11002026021400034_092,,,
11002026021400034_093,,,
11002026021400034_094,,,
11002026021400034_095,,,
11002026021400034_096,,,
11002026021400034_097,,,
11002026021400034_098,,,
11002026021400034_099,,,
11002026021400034_100,,,
